,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
82,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Curebet,2.02,2.33,1.42,
83,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,GGBET,1.92,2.34,1.37,
84,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Lasbet,2.05,2.36,1.44,
85,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Marathonbet,1.98,2.4,1.38,
86,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Pinnacle,2.03,2.33,1.42,
87,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Unibet,2.0,2.2,1.45,
88,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,William Hill,1.9,2.3,1.35,
89,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,10x10bet,0.51,3.4,5.4,
90,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,1xBet,0.5,3.4,5.35,
91,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Asianodds,0.53,3.34,5.41,
92,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,bet-at-home,0.49,3.3,5.0,
93,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,bet365,0.45,3.5,6.0,
94,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Betsensation,0.53,3.5,5.5,
95,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,bwin,0.43,2.9,5.5,
96,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Coolbet,0.52,3.4,5.5,
97,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Curebet,0.51,3.4,5.4,
98,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,GGBET,0.52,3.22,4.89,
99,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Lasbet,0.52,3.5,5.5,
100,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Marathonbet,0.52,3.3,5.3,
101,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Pinnacle,0.51,3.34,5.29,
102,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Unibet,0.49,3.35,5.2,
103,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,William Hill,0.44,3.2,6.0,
104,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,10x10bet,0.98,2.4,3.1,
105,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,1xBet,1.05,2.44,2.72,
106,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Asianodds,0.97,2.42,3.12,
107,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,bet-at-home,0.97,2.3,2.85,
108,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,bet365,0.9,2.75,2.8,
109,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Betsensation,1.0,2.45,3.2,
110,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,bwin,0.98,2.1,2.4,
111,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Coolbet,1.03,2.5,2.85,
112,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Curebet,0.98,2.4,3.1,
113,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,GGBET,0.97,2.41,2.78,
114,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Lasbet,0.99,2.45,3.1,
115,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Marathonbet,0.99,2.46,2.88,
116,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Pinnacle,0.97,2.42,3.06,
117,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Unibet,1.04,2.3,2.75,
118,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,William Hill,0.91,2.5,2.8,
119,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,10x10bet,0.73,2.7,4.1,
120,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,1xBet,0.75,2.88,3.62,
121,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Asianodds,0.7,2.53,3.87,
122,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,bet-at-home,0.74,2.65,3.5,
123,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,bet365,0.7,2.75,4.0,
