,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
61,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,1xBet,1.97,2.18,1.52,
62,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Asianodds,2.27,2.0,1.55,
63,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,bet-at-home,1.9,2.05,1.5,
64,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,bet365,2.0,2.1,1.5,
65,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Betsensation,2.18,2.04,1.58,
66,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,bwin,1.55,1.95,1.55,
67,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Coolbet,2.1,2.2,1.5,
68,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Curebet,2.14,2.0,1.55,
69,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,GGBET,1.9,2.17,1.47,
70,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Lasbet,2.23,1.98,1.56,
71,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Marathonbet,1.98,2.18,1.5,
72,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Pinnacle,2.14,2.0,1.55,
73,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,Unibet,2.05,2.1,1.45,
74,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,William Hill,2.0,2.1,1.4,
75,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,10x10bet,2.16,2.23,1.38,
76,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,1xBet,2.28,2.4,1.24,
77,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Asianodds,2.5,2.17,1.28,
78,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,bet-at-home,2.15,2.2,1.26,
79,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,bet365,2.2,2.3,1.25,
80,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Betsensation,2.09,2.3,1.47,
81,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,bwin,2.1,2.1,1.15,
82,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Coolbet,2.2,2.4,1.3,
83,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Curebet,2.16,2.23,1.38,
84,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,GGBET,2.15,2.35,1.23,
85,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Lasbet,2.2,2.27,1.4,
86,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Marathonbet,2.28,2.4,1.22,
87,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Pinnacle,2.42,2.19,1.28,
88,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,Unibet,2.0,2.35,1.35,
89,"Today, 04 Dec  2021, 15:00",Doncaster - Mansfield,Doncaster,Mansfield,William Hill,2.25,2.5,1.1,
90,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,10x10bet,0.59,3.0,5.0,
91,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,1xBet,0.61,3.04,4.5,
92,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Asianodds,0.58,3.0,5.15,
93,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,bet-at-home,0.58,2.9,4.6,
94,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,bet365,0.57,3.1,4.75,
95,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Betsensation,0.61,3.1,5.0,
96,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,bwin,0.57,2.4,4.5,
97,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Coolbet,0.58,3.0,5.25,
98,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Curebet,0.59,3.0,5.0,
99,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,GGBET,0.6,2.93,4.33,
