,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
69,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,bet-at-home,2.15,2.35,1.05,
70,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Betsensation,2.45,2.34,0.96,
71,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,bwin,2.3,2.3,0.93,
72,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Coolbet,2.5,2.4,1.05,
73,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Curebet,2.63,2.52,1.04,
74,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Lasbet,2.45,2.34,0.96,
75,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Marathonbet,2.42,2.46,1.0,
76,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Pinnacle,2.57,2.47,1.02,
77,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Unibet,2.0,2.35,1.07,
78,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,William Hill,2.4,2.2,1.0,
79,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,10x10bet,1.87,2.47,1.44,
80,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,1xBet,1.74,2.36,1.38,
81,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Asianodds,1.81,2.44,1.39,
82,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,bet-at-home,1.6,2.25,1.45,
83,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Betsensation,1.73,2.29,1.33,
84,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,bwin,1.35,2.4,1.45,
85,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Coolbet,1.7,2.3,1.5,
86,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Curebet,1.86,2.47,1.43,
87,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Lasbet,1.73,2.29,1.33,
88,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Marathonbet,1.74,2.38,1.38,
89,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Pinnacle,1.81,2.44,1.39,
90,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,Unibet,1.65,2.2,1.38,
91,"Today, 04 Dec  2021, 15:00",Kettering - Boston Utd,Kettering,Boston Utd,William Hill,1.45,2.1,1.62,
92,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,10x10bet,1.7,2.47,1.58,
93,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,1xBet,1.78,2.46,1.34,
94,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Asianodds,1.5,2.38,1.62,
95,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,bet-at-home,1.6,2.3,1.43,
96,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Betsensation,1.57,2.28,1.46,
97,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,bwin,1.45,2.5,1.35,
98,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Coolbet,1.6,2.3,1.6,
99,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Curebet,1.69,2.45,1.57,
100,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Lasbet,1.57,2.28,1.46,
101,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Marathonbet,1.62,2.44,1.44,
102,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Pinnacle,1.5,2.38,1.62,
103,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,Unibet,1.55,2.35,1.35,
104,"Today, 04 Dec  2021, 15:00",Southport - Hereford,Southport,Hereford,William Hill,1.37,2.1,1.7,
105,"Tuesday, 07 Dec  2021, 19:45",Gateshead - York,Gateshead,York,1xBet,0.91,2.66,2.58,
106,"Tuesday, 07 Dec  2021, 19:45",Gateshead - York,Gateshead,York,Marathonbet,0.89,2.66,2.58,
107,"Tuesday, 07 Dec  2021, 19:45",Gateshead - York,Gateshead,York,Unibet,0.87,2.4,2.4,
108,"Tuesday, 07 Dec  2021, 19:45",Guiseley - Southport,Guiseley,Southport,1xBet,1.26,2.5,1.88,
109,"Tuesday, 07 Dec  2021, 19:45",Guiseley - Southport,Guiseley,Southport,Marathonbet,1.24,2.5,1.86,
110,"Tuesday, 07 Dec  2021, 19:45",Guiseley - Southport,Guiseley,Southport,Unibet,1.2,2.35,1.8,
111,"Tuesday, 11 Jan  2022, 19:45",Kidderminster - Farsley,Kidderminster,Farsley,Unibet,0.3,3.5,7.0,
